NormalizedSubject	TaxID	Source
Mycobacterium tuberculosis R4254	1773.0	ena
Mycobacterium tuberculosis S94A mutant	1773.0	ena
Mycobacterium tuberculosis SAWC1125	1773.0	ena
Mycobacterium tuberculosis SAWC2371	1773.0	ena
Mycobacterium tuberculosis SAWC3200	1773.0	ena
Mycobacterium tuberculosis SAWC3385	1773.0	ena
Mycobacterium tuberculosis SAWC3388	1773.0	ena
Mycobacterium tuberculosis SAWC3933	1773.0	ena
Mycobacterium tuberculosis SAWC4046	1773.0	ena
Mycobacterium tuberculosis SAWC4083	1773.0	ena
Mycobacterium tuberculosis W91R mutant	1773.0	ena
Neisseria gonorrhoeae A7536	485.0	ena
Neisseria gonorrhoeae A7846	485.0	ena
Neisseria gonorrhoeae A8806	485.0	ena
Neisseria gonorrhoeae ALB0403	485.0	ena
Neisseria gonorrhoeae FC428	485.0	ena
Neisseria gonorrhoeae FC460	485.0	ena
Neisseria gonorrhoeae GCGS0104	485.0	ena
Neisseria gonorrhoeae GCGS0165	485.0	ena
Neisseria gonorrhoeae GCGS0205	485.0	ena
Neisseria gonorrhoeae GCGS0227	485.0	ena
Neisseria gonorrhoeae GCGS0229	485.0	ena
Neisseria gonorrhoeae GCGS0241	485.0	ena
Neisseria gonorrhoeae GCGS0822	485.0	ena
Neisseria gonorrhoeae GCGS0837	485.0	ena
Neisseria gonorrhoeae GCGS0862	485.0	ena
Neisseria gonorrhoeae GCGS0863	485.0	ena
Neisseria gonorrhoeae GCGS0864	485.0	ena
Neisseria gonorrhoeae GCGS0885	485.0	ena
Neisseria gonorrhoeae GCGS0886	485.0	ena
Neisseria gonorrhoeae GCGS0933	485.0	ena
Neisseria gonorrhoeae GCGS0949	485.0	ena
Neisseria gonorrhoeae GCGS0985	485.0	ena
Neisseria gonorrhoeae GCGS0999	485.0	ena
Neisseria gonorrhoeae GCGS1016	485.0	ena
Neisseria gonorrhoeae GCGS126	485.0	ena
Neisseria gonorrhoeae GK124	485.0	ena
Neisseria gonorrhoeae H041	485.0	ena
Neisseria gonorrhoeae MUNG19	485.0	ena
Neisseria gonorrhoeae NGPT03002	485.0	ena
Neisseria gonorrhoeae NGPT03003	485.0	ena
Neisseria gonorrhoeae NGPT03004	485.0	ena
Neisseria gonorrhoeae NGPT03005	485.0	ena
Neisseria gonorrhoeae NGPT03006	485.0	ena
Neisseria gonorrhoeae NGPT03007	485.0	ena
Neisseria gonorrhoeae NGPT03009	485.0	ena
Neisseria gonorrhoeae NGPT03010	485.0	ena
Neisseria gonorrhoeae NGPT03011	485.0	ena
Neisseria gonorrhoeae NGPT03012	485.0	ena
Neisseria gonorrhoeae NGPT03013	485.0	ena
Neisseria gonorrhoeae NGPT03014	485.0	ena
Neisseria gonorrhoeae NGPT03015	485.0	ena
Neisseria gonorrhoeae NGPT03016	485.0	ena
Neisseria gonorrhoeae NGPT03017	485.0	ena
Neisseria gonorrhoeae NGPT04001	485.0	ena
Neisseria gonorrhoeae NGPT04002	485.0	ena
Neisseria gonorrhoeae NGPT04003	485.0	ena
Neisseria gonorrhoeae NGPT04004	485.0	ena
Neisseria gonorrhoeae NGPT04007	485.0	ena
Neisseria gonorrhoeae NGPT04008	485.0	ena
Neisseria gonorrhoeae NGPT04009	485.0	ena
Neisseria gonorrhoeae NGPT04012	485.0	ena
Neisseria gonorrhoeae NGPT04015	485.0	ena
Neisseria gonorrhoeae NGPT05002	485.0	ena
Neisseria gonorrhoeae NGPT05005	485.0	ena
Neisseria gonorrhoeae NGPT05006	485.0	ena
Neisseria gonorrhoeae NGPT05007	485.0	ena
Neisseria gonorrhoeae NGPT05008	485.0	ena
Neisseria gonorrhoeae NGPT05009	485.0	ena
Neisseria gonorrhoeae NGPT05010	485.0	ena
Neisseria gonorrhoeae NGPT05012	485.0	ena
Neisseria gonorrhoeae NGPT05013	485.0	ena
Neisseria gonorrhoeae NGPT05014	485.0	ena
Neisseria gonorrhoeae NGPT05015	485.0	ena
