rplF rpsQ 0.998
rplF rpsQ 0.999
rplF rpsS 0.997
rplF rpsS 0.998
rplF rpsS 0.999
rplF smrB 0.608
rplF smrB 0.8
rplF vmlR 0.937
rplF yjgA 0.608
rplI rplJ 0.999
rplI rplO 0.986
rplI rplO 0.99
rplI rplO 0.991
rplI rplO 0.992
rplI rplO 0.997
rplI rplO 0.999
rplI rplP 0.986
rplI rplP 0.987
rplI rplP 0.988
rplI rplP 0.989
rplI rplP 0.991
rplI rplP 0.997
rplI rplP 0.999
rplI rplT 0.987
rplI rplT 0.989
rplI rplT 0.99
rplI rplT 0.991
rplI rplT 0.997
rplI rplT 0.998
rplI rplU 0.987
rplI rplU 0.988
rplI rplU 0.991
rplI rplU 0.992
rplI rplU 0.994
rplI rplU 0.998
rplI rplV 0.986
rplI rplV 0.987
rplI rplV 0.99
rplI rplV 0.991
rplI rplV 0.995
rplI rplV 0.998
rplI rplV 0.999
rplI rplW 0.986
rplI rplW 0.988
rplI rplW 0.989
rplI rplW 0.99
rplI rplW 0.992
rplI rplW 0.997
rplI rplW 0.998
rplI rplX 0.971
rplI rplX 0.979
rplI rplX 0.981
rplI rplX 0.987
rplI rplX 0.988
rplI rplX 0.989
rplI rplX 0.998
rplI rpmE 0.9
rplI rpmE 0.953
rplI rpmE 0.989
rplI rpsC 0.984
rplI rpsC 0.987
rplI rpsC 0.988
rplI rpsC 0.989
rplI rpsC 0.99
rplI rpsC 0.996
rplI rpsC 0.998
rplI rpsD 0.987
rplI rpsD 0.988
rplI rpsD 0.99
rplI rpsD 0.991
rplI rpsD 0.992
rplI rpsD 0.997
rplI rpsD 0.998
rplI rpsE 0.98
rplI rpsE 0.982
rplI rpsE 0.983
rplI rpsE 0.984
rplI rpsE 0.987
rplI rpsE 0.988
rplI rpsE 0.996
rplI rpsE 0.998
rplI rpsG 0.982
rplI rpsG 0.986
rplI rpsG 0.987
rplI rpsG 0.988
rplI rpsG 0.989
rplI rpsG 0.992
rplI rpsG 0.996
rplI rpsG 0.997
rplI rpsH 0.986
rplI rpsH 0.987
rplI rpsH 0.99
rplI rpsH 0.991
rplI rpsH 0.992
rplI rpsH 0.993
rplI rpsH 0.995
rplI rpsH 0.997
rplI rpsK 0.986
rplI rpsK 0.987
rplI rpsK 0.989
rplI rpsK 0.99
rplI rpsK 0.991
rplI rpsK 0.992
rplI rpsK 0.997
rplI rpsL 0.965
rplI rpsL 0.972
rplI rpsL 0.973
rplI rpsL 0.978
rplI rpsL 0.981
rplI rpsL 0.984
rplI rpsL 0.995
rplI rpsM 0.968
rplI rpsM 0.976
rplI rpsM 0.977
rplI rpsM 0.979
rplI rpsM 0.981
rplI rpsM 0.985
rplI rpsM 0.995
rplI rpsM 0.996
rplI rpsN 0.979
rplI rpsN 0.987
rplI rpsN 0.997
rplI rpsO 0.967
rplI rpsO 0.976
rplI rpsO 0.978
rplI rpsO 0.979
rplI rpsO 0.98
rplI rpsO 0.983
rplI rpsO 0.985
rplI rpsO 0.986
rplI rpsO 0.996
rplI rpsO 0.997
rplI rpsQ 0.984
rplI rpsQ 0.987
rplI rpsQ 0.991
rplI rpsQ 0.993
rplI rpsQ 0.994
rplI rpsQ 0.998
rplI rpsQ 0.999
rplI rpsS 0.986
rplI rpsS 0.987
rplI rpsS 0.99
rplI rpsS 0.993
rplI rpsS 0.995
rplI rpsS 0.997
rplI rpsS 0.999
rplI smrB 0.608
rplI smrB 0.8
rplI yjgA 0.608
rplJ rplO 0.999
rplJ rplP 0.999
rplJ rplT 0.999
rplJ rplU 0.999
rplJ rplV 0.999
rplJ rplW 0.999
rplJ rpmE 0.999
rplJ rpsC 0.999
rplJ rpsE 0.999
rplJ rpsG 0.999
rplJ rpsL 0.999
rplJ rpsM 0.999
rplJ rpsN 0.999
rplJ rpsO 0.999
rplJ rpsQ 0.999
rplJ rpsS 0.999
rplO rplP 0.997
rplO rplP 0.998
rplO rplP 0.999
rplO rplT 0.988
rplO rplT 0.989
rplO rplT 0.991
rplO rplT 0.992
rplO rplT 0.993
rplO rplT 0.997
rplO rplT 0.998
rplO rplU 0.983
rplO rplU 0.988
rplO rplU 0.991
rplO rplU 0.998
rplO rplU 0.999
rplO rplV 0.998
rplO rplV 0.999
rplO rplW 0.998
rplO rplW 0.999
rplO rplX 0.995
rplO rplX 0.996
rplO rplX 0.999
rplO rpmE 0.919
rplO rpmE 0.945
rplO rpsC 0.993
rplO rpsC 0.995
rplO rpsC 0.997
rplO rpsC 0.998
rplO rpsC 0.999
rplO rpsD 0.993
rplO rpsD 0.994
rplO rpsD 0.995
rplO rpsD 0.996
