NormalizedSubject	TaxID	Status
Neisseria gonorrhoeae NGPT03014	485.0	ok
Neisseria gonorrhoeae NGPT03015	485.0	ok
Neisseria gonorrhoeae NGPT03016	485.0	ok
Neisseria gonorrhoeae NGPT03017	485.0	ok
Neisseria gonorrhoeae NGPT04001	485.0	ok
Neisseria gonorrhoeae NGPT04002	485.0	ok
Neisseria gonorrhoeae NGPT04003	485.0	ok
Neisseria gonorrhoeae NGPT04004	485.0	ok
Neisseria gonorrhoeae NGPT04007	485.0	ok
Neisseria gonorrhoeae NGPT04008	485.0	ok
Neisseria gonorrhoeae NGPT04009	485.0	ok
Neisseria gonorrhoeae NGPT04012	485.0	ok
Neisseria gonorrhoeae NGPT04015	485.0	ok
Neisseria gonorrhoeae NGPT05002	485.0	ok
Neisseria gonorrhoeae NGPT05005	485.0	ok
Neisseria gonorrhoeae NGPT05006	485.0	ok
Neisseria gonorrhoeae NGPT05007	485.0	ok
Neisseria gonorrhoeae NGPT05008	485.0	ok
Neisseria gonorrhoeae NGPT05009	485.0	ok
Neisseria gonorrhoeae NGPT05010	485.0	ok
Neisseria gonorrhoeae NGPT05012	485.0	ok
Neisseria gonorrhoeae NGPT05013	485.0	ok
Neisseria gonorrhoeae NGPT05014	485.0	ok
Neisseria gonorrhoeae NGPT05015	485.0	ok
Neisseria gonorrhoeae NGPT05018	485.0	ok
Neisseria gonorrhoeae NGPT05019	485.0	ok
Neisseria gonorrhoeae NGPT05020	485.0	ok
Neisseria gonorrhoeae NGPT05021	485.0	ok
Neisseria gonorrhoeae NGPT05022	485.0	ok
Neisseria gonorrhoeae NGPT05023	485.0	ok
Neisseria gonorrhoeae NGPT05024	485.0	ok
Nitratireductor sp.. ac15		fail
Orientia tsutsugamushi AFSC4	784.0	ok
Orientia tsutsugamushi Karp	784.0	ok
Paenibacillus thiaminolyticus PATH554	49283.0	ok
Pediococcus acidilactici BMOBR041	1254.0	ok
Plasmodium falciparum 3D7	36329.0	ok
Plasmodium falciparum NF54-HGL	5833.0	ok
Plasmodium falciparum NF54-HGL-hDHFR	5833.0	ok
Proteus mirabilis ATCC 29906	525369.0	ok
Proteus mirabilis LHPm1	584.0	ok
Providencia stuartii ATCC 29916	588.0	ok
Pseudomonas aeruginosa AR-0054	287.0	ok
Pseudomonas aeruginosa AR-0064	287.0	ok
Pseudomonas aeruginosa AR-0100	287.0	ok
Pseudomonas aeruginosa ATCC 15442	287.0	ok
Pseudomonas aeruginosa ATCC 27853	287.0	ok
Pseudomonas aeruginosa PA-011	287.0	ok
Pseudomonas aeruginosa PA-032	287.0	ok
Pseudomonas aeruginosa PA-038	287.0	ok
Pseudomonas aeruginosa PA-041	287.0	ok
Pseudomonas aeruginosa PA124	287.0	ok
Pseudomonas aeruginosa PAO1	287.0	ok
Pseudomonas aeruginosa PBIO712	287.0	ok
Pseudomonas aeruginosa PBIO724	287.0	ok
Pseudomonas aeruginosa ST111	287.0	ok
Pseudomonas aeruginosa ST17	287.0	ok
Pseudomonas aeruginosa ST235	287.0	ok
Pseudomonas aeruginosa ST244	287.0	ok
Pseudomonas aeruginosa ST274	287.0	ok
Pseudomonas aeruginosa ST395	287.0	ok
Pseudomonas aeruginosa mucoid strain	287.0	ok
Pseudomonas protegens Pf-5	220664.0	ok
Saccharopolyspora erythraea rif12	1836.0	ok
Saccharopolyspora erythraea rif3	1836.0	ok
Saccharopolyspora erythraea rif4	1836.0	ok
Saccharopolyspora erythraea rif5	1836.0	ok
Saccharopolyspora erythraea rif6	1836.0	ok
Saccharopolyspora erythraea rif9	1836.0	ok
